01    | Recursive n                | ⁿ                   
A4    | Capital O Caret            | Ô                   
A5    | Capital O Diaeresis        | Ö                   
A6    | Small O Acute              | ó                   
A7    | Small O Grave              | ò                   
A8    | Small O Caret              | ô                   
A9    | Small O Diaeresis          | ö                   
AA    | Capital U Acute            | Ú                   
AB    | Capital U Grave            | Ù                   
AC    | Capital U Caret            | Û                   
AD    | Capital U Diaeresis        | Ü                   
AE    | Small U Acute              | ú                   
AF    | Small U Grave              | ù                   
B0    | Small U Caret              | û                   
B1    | Small U Diaeresis          | ü                   
B2    | Capital C Cedilla          | Ç                   
B3    | Small C Cedilla            | ç                   
B4    | Capital N Tilde            | Ñ                   
B5    | Small N Tilde              | ñ                   
B6    | Accent                     | ´                   
B7    | Grave                      | `                   
B8    | Diaeresis                  | ¨                   
B9    | Inverted Question Mark     | ¿                   
BA    | Inverted Exclamation Mark  | ¡                   
BB    | Small Alpha                | α                   
BC    | Small Beta                 | β                   
BD    | Small Gamma                | γ                   
BE    | Capital Delta              | Δ                   
BF    | Small Delta                | δ                   
C0    | Small Epsilon              | ε                   
C1    | Left Bracket               | [                   
C2    | Small Lambda               | λ                   
C3    | Small Mu                   | μ                   
C4    | Small Pi                   | π                   
C5    | Small Rho                  | ρ                   
C6    | Capital Sigma              | Σ                   
C7    | Small Sigma                | σ                   
C8    | Small Tau                  | τ                   
C9    | Small Phi                  | φ                   
CA    | Capital Omega              | Ω                   
CB    | X Mean                     | x̄                  
CC    | Y Mean                     | ȳ                   
CD    | Superscript X              | ˣ                   
CE    | Ellipsis                   | …                   
CF    | Left Pointing Triangle     | ◀                  
D0    | Block                      | ■                   
D1    | Per                        | /                   
D2    | Hyphen                     | -                   
D3    | Area                       | ²                   
D4    | Temperature                | °                   
D5    | Cube                       | ³                   
D6    | Enter                      | ↵                   
D7    | Imaginary I                | 𝑖                   
D8    | P Hat                      | p̂                  
D9    | Small Chi                  | χ                   
DA    | Stat F                     | 𝐅                   
DB    | Natural Logarithm E        | 𝑒                   
DC    | List Capital L             | 𝐋                   
DD    | Finance Capital N          | 𝐍                   
DE    | Two Right Parentheses      | ⸩                   
DF    | Block Arrow                | 🮞                   
E0    | Cursor Overwrite           | █                   
E1    | Cursor Overwrite Second    | ▓                   
E2    | Cursor Overwrite Capital A | 🅰                  
E3    | Cursor Overwrite Small A   | ⓐ                  
E4    | Cursor Insert              | ▏                    
E5    | Cursor Insert Second       | ▎                    
E6    | Cursor Insert Capital A    | 🄰                   
E7    | Cursor Insert Small A      | ⒜                  
E8    | Graph Line                 | ─                   
E9    | Graph Thick                | ═                   
EA    | Graph Above                | ▔                  
EB    | Graph Below                | ▁                  
EC    | Graph Path                 | ∙                   
ED    | Graph Animate              | ◎                  
EE    | Graph Dot                  | •                   
EF    | Up Block                   | ▀                   
F0    | Down Block                 | ▄                   
F1    | Cursor Full                | █                   
F2    | Dollar Sign                | $                   
F3    | Square Up                  | 🮝                   
F4    | Sharp S                    | ß                   
F5    | Mixed Fraction Separator   | ᳓                   
F6    | Fraction Slash             | ⁄                   
F7    | Entry Box                  | ☐                  
